Restaurant,SubCategory,Item,Calories
Arby's,Coffee,Coffee,0
Arby's,Iced Tea,Brewed Iced Tea â€“ Small Cup,0
Arby's,Juice,CapriSun Fruit Juice,80
Arby's,Juice,Orange Juice,140
Arby's,Juice,CapriSun Fruit Juice,80
Arby's,Milk,Shamrock Farms Lowfat Chocolate Milk,150
Arby's,Milk,Shamrock Farms Lowfat White Milk,90
Arby's,Milk,Shamrock Farms Lowfat Chocolate Milk,150
Arby's,Milk,Shamrock Farms Lowfat White Milk,90
Arby's,Shake,Chocolate Shake Regular,570
Arby's,Shake,Chocolate Shake Small,440
Arby's,Shake,Jamocha Shake Regular,560
Arby's,Shake,Jamocha Shake Small,440
Arby's,Shake,Orange Cream Shake,660
Arby's,Shake,Pumpkin Cheesecake Shake,650
Arby's,Shake,Vanilla Shake Regular,470
Arby's,Shake,Vanilla Shake Small,380
Arby's,Shake,Jr Chocolate Shake,350
Arby's,Shake,Jr Jamocha Shake,350
Arby's,Shake,Jr Vanilla Shake,280
Arby's,Soda,Diet Pepsi â€“ Small Cup,0
Arby's,Soda,Dr Pepper â€“ Small Cup,180
Arby's,Soda,Mist Twst,190
Arby's,Soda,Mountain Dew â€“ Small Cup,200
Arby's,Soda,Pepsi - Small Cup,180
Arby's,Water,Nestle Pure Life Bottled Water,0
Burger King,Coffee,Iced Coffee Caramel,170
Burger King,Coffee,Iced Coffee Regular,160
Burger King,Coffee,Iced Coffee Vanilla,180
Burger King,Coffee,Latte Caramel,320
Burger King,Coffee,Latte Mocha,210
Burger King,Coffee,Latte Regular,180
Burger King,Coffee,Latte Vanilla,320
Burger King,Coffee,Nonfat Latte Caramel,300
Burger King,Coffee,Nonfat Latte Mocha,160
Burger King,Coffee,Nonfat Latte Regular,150
Burger King,Coffee,Nonfat Latte Vanilla,300
Burger King,Coffee,Seattle's Best CoffeeÂ® - Decaf,0
Burger King,Coffee,Seattle's Best CoffeeÂ® - Regular,0
Burger King,Hot Chocolate,Hot Chocolate,230
Burger King,Iced Tea,Peach Tea,100
Burger King,Iced Tea,Sweet Tea,120
Burger King,Iced Tea,Unsweetened Tea,0
Burger King,Juice,Capri SunÂ® 100% Apple Juice,80
Burger King,Juice,Hi-C Fruit Punch,200
Burger King,Juice,Minute Maid Light Lemonade,10
Burger King,Juice,Minute Maid Orange Juice,140
Burger King,Milk,1% Low Fat Chocolate Milk,160
Burger King,Milk,Fat Free Milk,90
Burger King,Shake,Chocolate Milk Shake,690
Burger King,Shake,Strawberry Banana Smoothie,310
Burger King,Shake,Strawberry Milk Shake,610
Burger King,Shake,Tropical Mango Smoothie,330
Burger King,Shake,Vanilla Milk Shake,660
Burger King,Shake,BK Caramel Frappe,510
Burger King,Shake,BK Mocha Frappe,510
Burger King,Slush,Frozen Coke,110
Burger King,Slush,Frozen SURGEâ„¢ Large,120
Burger King,Slush,Frozen SURGEâ„¢ Medium,100
Burger King,Slush,Frozen SURGEâ„¢ Small,80
Burger King,Slush,Blue Raspberry ICEE,120
Burger King,Soda,Barq's Root Beer,220
Burger King,Soda,Cherry Coke,200
Burger King,Soda,Coca Cola Classic,190
Burger King,Soda,Diet Coke,0
