Restaurant,Category,SubCategory,Item,Calories,Calories From Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fiber (g),Sugars (g),Protein (g)
Arby's,Beverage,Coffee,Coffee,0,0,0,0,0,0,0,0,0,0,0
Arby's,Beverage,Iced Tea,Brewed Iced Tea – Small Cup,0,0,0,0,0,0,0,0,0,0,0
Arby's,Beverage,Juice,CapriSun Fruit Juice,80,0,0,0,0,0,25,21,0,20,0
Arby's,Beverage,Juice,Orange Juice,140,0,0,0,0,0,0,33,1,26,2
Arby's,Beverage,Juice,CapriSun Fruit Juice,80,0,0,0,0,0,25,21,0,20,0
Arby's,Beverage,Milk,Shamrock Farms Lowfat Chocolate Milk,150,20,3,2,0,10,170,26,1,23,7
Arby's,Beverage,Milk,Shamrock Farms Lowfat White Milk,90,20,2,2,0,10,105,10,0,10,7
Arby's,Beverage,Milk,Shamrock Farms Lowfat Chocolate Milk,150,20,3,2,0,10,170,26,1,23,7
Arby's,Beverage,Milk,Shamrock Farms Lowfat White Milk,90,20,2,2,0,10,105,10,0,10,7
Arby's,Beverage,Shake,Chocolate Shake Regular,570,140,15,10,0,50,450,99,1,81,14
Arby's,Beverage,Shake,Chocolate Shake Small,440,110,12,8,0,40,350,76,1,62,12
Arby's,Beverage,Shake,Jamocha Shake Regular,560,130,15,10,0,50,440,98,1,80,14
Arby's,Beverage,Shake,Jamocha Shake Small,440,110,12,8,0,40,350,75,1,61,11
Arby's,Beverage,Shake,Orange Cream Shake,660,180,20,13,0,65,430,109,1,91,15
Arby's,Beverage,Shake,Pumpkin Cheesecake Shake,650,180,20,13,0,65,440,106,0,96,15
Arby's,Beverage,Shake,Vanilla Shake Regular,470,130,15,10,0,50,390,75,0,61,14
Arby's,Beverage,Shake,Vanilla Shake Small,380,110,12,8,0,40,310,60,0,49,11
Arby's,Beverage,Shake,Jr Chocolate Shake,350,80,9,6,0,30,280,61,1,50,9
Arby's,Beverage,Shake,Jr Jamocha Shake,350,80,9,6,0,30,270,60,0,49,9
Arby's,Beverage,Shake,Jr Vanilla Shake,280,80,9,6,0,30,230,45,0,37,8
Arby's,Beverage,Soda,Diet Pepsi – Small Cup,0,0,0,0,0,0,5,0,0,0,0
Arby's,Beverage,Soda,Dr Pepper – Small Cup,180,0,0,0,0,0,45,48,0,48,0
Arby's,Beverage,Soda,Mist Twst,190,0,0,0,0,0,0,50,0,50,0
Arby's,Beverage,Soda,Mountain Dew – Small Cup,200,0,0,0,0,0,25,54,0,54,0
Arby's,Beverage,Soda,Pepsi - Small Cup,180,0,0,0,0,0,0,49,0,49,0
Arby's,Beverage,Water,Nestle Pure Life Bottled Water,0,0,0,0,0,0,0,0,0,0,0
Arby's,Breakfast,French Toast,French Toast Sticks,350,120,13,2,0,0,500,52,2,16,6
